,Activation,# of Neurons in hidden unit 1,# of Neurons in hidden unit 2,Alpha,Learning Rate,Accuracy Score,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,Time Taken
84,identity,50,20,0.0001,0.1,0.7715600775193798,0.8203220583386239,0.805795328357959,0.7351126258033691,0.7715600775193798,0.740457729230489,0.7547356441902597,1.29707
85,identity,50,20,0.0001,0.01,0.8161337209302325,0.8195845367269994,0.817669363154513,0.8009831157622181,0.8161337209302325,0.8065456753880306,0.8133898080057503,2.52758
86,identity,50,20,0.0001,0.001,0.45566860465116277,0.6573420110191006,0.6926590837840145,0.5284926328930537,0.45566860465116277,0.3669972871066627,0.3293478474243378,1.30831
87,identity,50,20,0.001,0.1,0.8161337209302325,0.8181302555053388,0.8169670879376039,0.802088952422052,0.8161337209302325,0.8071491446497748,0.8137640515408864,1.51091
88,identity,50,20,0.001,0.01,0.749031007751938,0.8080456093046637,0.7920217770949832,0.7077739931877379,0.749031007751938,0.7086995187277674,0.7259244254985069,1.61006
89,identity,50,20,0.001,0.001,0.7512112403100775,0.7688228734283625,0.7877625969129444,0.7697653853860025,0.7512112403100775,0.7512035166965916,0.751423807585581,1.62122
90,identity,50,50,0.0001,0.1,0.6921027131782945,0.7344954815209452,0.7578649403720199,0.7205787725598385,0.6921027131782945,0.6908092034371898,0.687631142050805,2.41674
91,identity,50,50,0.0001,0.01,0.8103197674418605,0.8074815777469178,0.8095735467804934,0.8007846816577532,0.8103197674418605,0.8034268379791709,0.8092764650522943,3.63119
92,identity,50,50,0.0001,0.001,0.7894864341085271,0.7859009981850539,0.7959524766713721,0.7923656813032689,0.7894864341085271,0.7870113088077508,0.7906600328466481,3.64074
93,identity,50,50,0.001,0.1,0.784156976744186,0.7848307446792777,0.7978305024857524,0.7921903657352465,0.784156976744186,0.7829248610527724,0.7855237931864296,2.62057
94,identity,50,50,0.001,0.01,0.8158914728682171,0.8134104811755061,0.8152269215219553,0.8063822572938982,0.8158914728682171,0.8091470797790125,0.8148485254832886,4.28245
95,identity,50,50,0.001,0.001,0.7468507751937985,0.7638994220387729,0.7826016165710525,0.7650549835858391,0.7468507751937985,0.746838280815395,0.7471209122716913,2.95023
96,logistic,5,5,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.5859
